peak_index,wavenumber_cm-1,relative_intensity,used_in_scripts
1,3330,0.55,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
2,3200,0.6,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
3,3020,0.25,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
4,2940,0.3,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
5,1650,1.0,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
6,1498,0.75,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
7,1410,0.9,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
8,1330,0.4,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
9,1232,0.4,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
10,1209,0.3,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
11,1040,0.8,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
12,929,0.3,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
13,889,0.3,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
14,616,0.5,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
15,513,0.4,Code/glycine_evaporation_zwitterion_5min_licensed.py;Code/glycine_evaporation_zwitterion_5min_pk_kinetic_licensed.py;Code/glycine_sigil_evaporation_5min_rotating_legend_licensed.py;Code/glycine_sigil_pk_5min_rotating_licensed.py
